date,hour,item,quantity,unit_price_kzt,unit_cost_kzt,ingredients,allergens
2026-08-01,8,Latte,11,1200,400,coffee;milk,milk
2026-08-01,10,Latte,13,1200,400,coffee;milk,milk
2026-08-01,12,Latte,13,1200,400,coffee;milk,milk
2026-08-01,14,Latte,5,1200,400,coffee;milk,milk
2026-08-01,16,Latte,7,1200,400,coffee;milk,milk
2026-08-01,18,Latte,9,1200,400,coffee;milk,milk
2026-08-01,8,Americano,14,800,200,coffee,none
2026-08-01,10,Americano,4,800,200,coffee,none
2026-08-01,12,Americano,16,800,200,coffee,none
2026-08-01,14,Americano,8,800,200,coffee,none
2026-08-01,16,Americano,10,800,200,coffee,none
2026-08-01,18,Americano,12,800,200,coffee,none
2026-08-01,8,Croissant,5,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-01,10,Croissant,7,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-01,12,Croissant,19,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-01,14,Croissant,11,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-01,16,Croissant,13,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-01,18,Croissant,3,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-01,8,Salad,8,1800,700,tomato;cucumber;olive_oil,none
2026-08-01,10,Salad,10,1800,700,tomato;cucumber;olive_oil,none
2026-08-01,12,Salad,22,1800,700,tomato;cucumber;olive_oil,none
2026-08-01,14,Salad,14,1800,700,tomato;cucumber;olive_oil,none
2026-08-01,16,Salad,4,1800,700,tomato;cucumber;olive_oil,none
2026-08-01,18,Salad,6,1800,700,tomato;cucumber;olive_oil,none
2026-08-01,8,Sandwich,11,1600,600,bread;cheese;tomato,gluten;milk
2026-08-01,10,Sandwich,13,1600,600,bread;cheese;tomato,gluten;milk
2026-08-01,12,Sandwich,13,1600,600,bread;cheese;tomato,gluten;milk
2026-08-01,14,Sandwich,5,1600,600,bread;cheese;tomato,gluten;milk
2026-08-01,16,Sandwich,7,1600,600,bread;cheese;tomato,gluten;milk
2026-08-01,18,Sandwich,9,1600,600,bread;cheese;tomato,gluten;milk
2026-08-02,8,Latte,6,1200,400,coffee;milk,milk
2026-08-02,10,Latte,8,1200,400,coffee;milk,milk
2026-08-02,12,Latte,20,1200,400,coffee;milk,milk
2026-08-02,14,Latte,12,1200,400,coffee;milk,milk
2026-08-02,16,Latte,14,1200,400,coffee;milk,milk
2026-08-02,18,Latte,4,1200,400,coffee;milk,milk
2026-08-02,8,Americano,9,800,200,coffee,none
2026-08-02,10,Americano,11,800,200,coffee,none
2026-08-02,12,Americano,23,800,200,coffee,none
2026-08-02,14,Americano,3,800,200,coffee,none
2026-08-02,16,Americano,5,800,200,coffee,none
2026-08-02,18,Americano,7,800,200,coffee,none
2026-08-02,8,Croissant,12,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-02,10,Croissant,14,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-02,12,Croissant,14,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-02,14,Croissant,6,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-02,16,Croissant,8,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-02,18,Croissant,10,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-02,8,Salad,3,1800,700,tomato;cucumber;olive_oil,none
2026-08-02,10,Salad,5,1800,700,tomato;cucumber;olive_oil,none
2026-08-02,12,Salad,17,1800,700,tomato;cucumber;olive_oil,none
2026-08-02,14,Salad,9,1800,700,tomato;cucumber;olive_oil,none
2026-08-02,16,Salad,11,1800,700,tomato;cucumber;olive_oil,none
2026-08-02,18,Salad,13,1800,700,tomato;cucumber;olive_oil,none
2026-08-02,8,Sandwich,6,1600,600,bread;cheese;tomato,gluten;milk
2026-08-02,10,Sandwich,8,1600,600,bread;cheese;tomato,gluten;milk
2026-08-02,12,Sandwich,20,1600,600,bread;cheese;tomato,gluten;milk
2026-08-02,14,Sandwich,12,1600,600,bread;cheese;tomato,gluten;milk
2026-08-02,16,Sandwich,14,1600,600,bread;cheese;tomato,gluten;milk
2026-08-02,18,Sandwich,4,1600,600,bread;cheese;tomato,gluten;milk
2026-08-03,8,Latte,13,1200,400,coffee;milk,milk
2026-08-03,10,Latte,3,1200,400,coffee;milk,milk
2026-08-03,12,Latte,15,1200,400,coffee;milk,milk
2026-08-03,14,Latte,7,1200,400,coffee;milk,milk
2026-08-03,16,Latte,9,1200,400,coffee;milk,milk
2026-08-03,18,Latte,11,1200,400,coffee;milk,milk
2026-08-03,8,Americano,4,800,200,coffee,none
2026-08-03,10,Americano,6,800,200,coffee,none
2026-08-03,12,Americano,18,800,200,coffee,none
2026-08-03,14,Americano,10,800,200,coffee,none
2026-08-03,16,Americano,12,800,200,coffee,none
2026-08-03,18,Americano,14,800,200,coffee,none
2026-08-03,8,Croissant,7,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-03,10,Croissant,9,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-03,12,Croissant,21,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-03,14,Croissant,13,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-03,16,Croissant,3,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-03,18,Croissant,5,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-03,8,Salad,10,1800,700,tomato;cucumber;olive_oil,none
2026-08-03,10,Salad,12,1800,700,tomato;cucumber;olive_oil,none
2026-08-03,12,Salad,24,1800,700,tomato;cucumber;olive_oil,none
2026-08-03,14,Salad,4,1800,700,tomato;cucumber;olive_oil,none
2026-08-03,16,Salad,6,1800,700,tomato;cucumber;olive_oil,none
2026-08-03,18,Salad,8,1800,700,tomato;cucumber;olive_oil,none
2026-08-03,8,Sandwich,13,1600,600,bread;cheese;tomato,gluten;milk
2026-08-03,10,Sandwich,3,1600,600,bread;cheese;tomato,gluten;milk
2026-08-03,12,Sandwich,15,1600,600,bread;cheese;tomato,gluten;milk
2026-08-03,14,Sandwich,7,1600,600,bread;cheese;tomato,gluten;milk
2026-08-03,16,Sandwich,9,1600,600,bread;cheese;tomato,gluten;milk
2026-08-03,18,Sandwich,11,1600,600,bread;cheese;tomato,gluten;milk
2026-08-04,8,Latte,8,1200,400,coffee;milk,milk
2026-08-04,10,Latte,10,1200,400,coffee;milk,milk
2026-08-04,12,Latte,22,1200,400,coffee;milk,milk
2026-08-04,14,Latte,14,1200,400,coffee;milk,milk
2026-08-04,16,Latte,4,1200,400,coffee;milk,milk
2026-08-04,18,Latte,6,1200,400,coffee;milk,milk
2026-08-04,8,Americano,11,800,200,coffee,none
2026-08-04,10,Americano,13,800,200,coffee,none
2026-08-04,12,Americano,13,800,200,coffee,none
2026-08-04,14,Americano,5,800,200,coffee,none
2026-08-04,16,Americano,7,800,200,coffee,none
2026-08-04,18,Americano,9,800,200,coffee,none
2026-08-04,8,Croissant,14,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-04,10,Croissant,4,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-04,12,Croissant,16,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-04,14,Croissant,8,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-04,16,Croissant,10,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-04,18,Croissant,12,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-04,8,Salad,5,1800,700,tomato;cucumber;olive_oil,none
2026-08-04,10,Salad,7,1800,700,tomato;cucumber;olive_oil,none
2026-08-04,12,Salad,19,1800,700,tomato;cucumber;olive_oil,none
2026-08-04,14,Salad,11,1800,700,tomato;cucumber;olive_oil,none
2026-08-04,16,Salad,13,1800,700,tomato;cucumber;olive_oil,none
2026-08-04,18,Salad,3,1800,700,tomato;cucumber;olive_oil,none
2026-08-04,8,Sandwich,8,1600,600,bread;cheese;tomato,gluten;milk
2026-08-04,10,Sandwich,10,1600,600,bread;cheese;tomato,gluten;milk
2026-08-04,12,Sandwich,22,1600,600,bread;cheese;tomato,gluten;milk
2026-08-04,14,Sandwich,14,1600,600,bread;cheese;tomato,gluten;milk
2026-08-04,16,Sandwich,4,1600,600,bread;cheese;tomato,gluten;milk
2026-08-04,18,Sandwich,6,1600,600,bread;cheese;tomato,gluten;milk
2026-08-05,8,Latte,3,1200,400,coffee;milk,milk
2026-08-05,10,Latte,5,1200,400,coffee;milk,milk
2026-08-05,12,Latte,17,1200,400,coffee;milk,milk
2026-08-05,14,Latte,9,1200,400,coffee;milk,milk
2026-08-05,16,Latte,11,1200,400,coffee;milk,milk
2026-08-05,18,Latte,13,1200,400,coffee;milk,milk
2026-08-05,8,Americano,6,800,200,coffee,none
2026-08-05,10,Americano,8,800,200,coffee,none
2026-08-05,12,Americano,20,800,200,coffee,none
2026-08-05,14,Americano,12,800,200,coffee,none
2026-08-05,16,Americano,14,800,200,coffee,none
2026-08-05,18,Americano,4,800,200,coffee,none
2026-08-05,8,Croissant,9,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-05,10,Croissant,11,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-05,12,Croissant,23,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-05,14,Croissant,3,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-05,16,Croissant,5,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-05,18,Croissant,7,900,300,wheat;butter;egg,gluten;milk;egg
2026-08-05,8,Salad,12,1800,700,tomato;cucumber;olive_oil,none
2026-08-05,10,Salad,14,1800,700,tomato;cucumber;olive_oil,none
2026-08-05,12,Salad,14,1800,700,tomato;cucumber;olive_oil,none
2026-08-05,14,Salad,6,1800,700,tomato;cucumber;olive_oil,none
2026-08-05,16,Salad,8,1800,700,tomato;cucumber;olive_oil,none
2026-08-05,18,Salad,10,1800,700,tomato;cucumber;olive_oil,none
2026-08-05,8,Sandwich,3,1600,600,bread;cheese;tomato,gluten;milk
2026-08-05,10,Sandwich,5,1600,600,bread;cheese;tomato,gluten;milk
2026-08-05,12,Sandwich,17,1600,600,bread;cheese;tomato,gluten;milk
2026-08-05,14,Sandwich,9,1600,600,bread;cheese;tomato,gluten;milk
2026-08-05,16,Sandwich,11,1600,600,bread;cheese;tomato,gluten;milk
2026-08-05,18,Sandwich,13,1600,600,bread;cheese;tomato,gluten;milk
2026-08-06,8,Latte,10,1200,400,coffee;milk,milk
