date,product,category,city,quantity,unit_price_kzt,unit_cost_kzt
2026-08-01,Notebook,Stationery,Almaty,2,650,250
2026-08-01,Pen,Stationery,Almaty,9,200,70
2026-08-01,Backpack,Accessories,Almaty,2,14000,7500
2026-08-01,Bottle,Accessories,Almaty,9,3500,1700
2026-08-01,Planner,Stationery,Almaty,2,2400,1000
2026-08-01,Pencil,Stationery,Almaty,9,150,50
2026-08-01,Lamp,Electronics,Almaty,2,7500,3900
2026-08-01,USB_drive,Electronics,Almaty,9,4200,1900
2026-08-02,Notebook,Stationery,Astana,5,650,250
2026-08-02,Pen,Stationery,Astana,12,200,70
2026-08-02,Backpack,Accessories,Astana,5,14000,7500
2026-08-02,Bottle,Accessories,Astana,12,3500,1700
2026-08-02,Planner,Stationery,Astana,5,2400,1000
2026-08-02,Pencil,Stationery,Astana,12,150,50
2026-08-02,Lamp,Electronics,Astana,5,7500,3900
2026-08-02,USB_drive,Electronics,Astana,12,4200,1900
2026-08-03,Notebook,Stationery,Almaty,8,650,250
2026-08-03,Pen,Stationery,Almaty,15,200,70
2026-08-03,Backpack,Accessories,Almaty,8,14000,7500
2026-08-03,Bottle,Accessories,Almaty,15,3500,1700
2026-08-03,Planner,Stationery,Almaty,8,2400,1000
2026-08-03,Pencil,Stationery,Almaty,15,150,50
2026-08-03,Lamp,Electronics,Almaty,8,7500,3900
2026-08-03,USB_drive,Electronics,Almaty,15,4200,1900
2026-08-04,Notebook,Stationery,Astana,11,650,250
2026-08-04,Pen,Stationery,Astana,4,200,70
2026-08-04,Backpack,Accessories,Astana,11,14000,7500
2026-08-04,Bottle,Accessories,Astana,4,3500,1700
2026-08-04,Planner,Stationery,Astana,11,2400,1000
2026-08-04,Pencil,Stationery,Astana,4,150,50
2026-08-04,Lamp,Electronics,Astana,11,7500,3900
2026-08-04,USB_drive,Electronics,Astana,4,4200,1900
2026-08-05,Notebook,Stationery,Almaty,14,650,250
2026-08-05,Pen,Stationery,Almaty,7,200,70
2026-08-05,Backpack,Accessories,Almaty,14,14000,7500
2026-08-05,Bottle,Accessories,Almaty,7,3500,1700
2026-08-05,Planner,Stationery,Almaty,14,2400,1000
2026-08-05,Pencil,Stationery,Almaty,7,150,50
2026-08-05,Lamp,Electronics,Almaty,14,7500,3900
2026-08-05,USB_drive,Electronics,Almaty,7,4200,1900
2026-08-06,Notebook,Stationery,Astana,3,650,250
2026-08-06,Pen,Stationery,Astana,10,200,70
2026-08-06,Backpack,Accessories,Astana,3,14000,7500
2026-08-06,Bottle,Accessories,Astana,10,3500,1700
2026-08-06,Planner,Stationery,Astana,3,2400,1000
2026-08-06,Pencil,Stationery,Astana,10,150,50
2026-08-06,Lamp,Electronics,Astana,3,7500,3900
2026-08-06,USB_drive,Electronics,Astana,10,4200,1900
2026-08-07,Notebook,Stationery,Almaty,6,650,250
2026-08-07,Pen,Stationery,Almaty,13,200,70
2026-08-07,Backpack,Accessories,Almaty,6,14000,7500
2026-08-07,Bottle,Accessories,Almaty,13,3500,1700
2026-08-07,Planner,Stationery,Almaty,6,2400,1000
2026-08-07,Pencil,Stationery,Almaty,13,150,50
2026-08-07,Lamp,Electronics,Almaty,6,7500,3900
2026-08-07,USB_drive,Electronics,Almaty,13,4200,1900
2026-08-08,Notebook,Stationery,Astana,9,650,250
2026-08-08,Pen,Stationery,Astana,2,200,70
2026-08-08,Backpack,Accessories,Astana,9,14000,7500
2026-08-08,Bottle,Accessories,Astana,2,3500,1700
2026-08-08,Planner,Stationery,Astana,9,2400,1000
2026-08-08,Pencil,Stationery,Astana,2,150,50
2026-08-08,Lamp,Electronics,Astana,9,7500,3900
2026-08-08,USB_drive,Electronics,Astana,2,4200,1900
2026-08-09,Notebook,Stationery,Almaty,12,650,250
2026-08-09,Pen,Stationery,Almaty,5,200,70
2026-08-09,Backpack,Accessories,Almaty,12,14000,7500
2026-08-09,Bottle,Accessories,Almaty,5,3500,1700
2026-08-09,Planner,Stationery,Almaty,12,2400,1000
2026-08-09,Pencil,Stationery,Almaty,5,150,50
2026-08-09,Lamp,Electronics,Almaty,12,7500,3900
2026-08-09,USB_drive,Electronics,Almaty,5,4200,1900
2026-08-10,Notebook,Stationery,Astana,15,650,250
2026-08-10,Pen,Stationery,Astana,8,200,70
2026-08-10,Backpack,Accessories,Astana,15,14000,7500
2026-08-10,Bottle,Accessories,Astana,8,3500,1700
2026-08-10,Planner,Stationery,Astana,15,2400,1000
2026-08-10,Pencil,Stationery,Astana,8,150,50
2026-08-10,Lamp,Electronics,Astana,15,7500,3900
2026-08-10,USB_drive,Electronics,Astana,8,4200,1900
2026-08-11,Notebook,Stationery,Almaty,4,650,250
2026-08-11,Pen,Stationery,Almaty,11,200,70
2026-08-11,Backpack,Accessories,Almaty,4,14000,7500
2026-08-11,Bottle,Accessories,Almaty,11,3500,1700
2026-08-11,Planner,Stationery,Almaty,4,2400,1000
2026-08-11,Pencil,Stationery,Almaty,11,150,50
2026-08-11,Lamp,Electronics,Almaty,4,7500,3900
2026-08-11,USB_drive,Electronics,Almaty,11,4200,1900
2026-08-12,Notebook,Stationery,Astana,7,650,250
2026-08-12,Pen,Stationery,Astana,14,200,70
2026-08-12,Backpack,Accessories,Astana,7,14000,7500
2026-08-12,Bottle,Accessories,Astana,14,3500,1700
2026-08-12,Planner,Stationery,Astana,7,2400,1000
2026-08-12,Pencil,Stationery,Astana,14,150,50
2026-08-12,Lamp,Electronics,Astana,7,7500,3900
2026-08-12,USB_drive,Electronics,Astana,14,4200,1900
2026-08-13,Notebook,Stationery,Almaty,10,650,250
2026-08-13,Pen,Stationery,Almaty,3,200,70
2026-08-13,Backpack,Accessories,Almaty,10,14000,7500
2026-08-13,Bottle,Accessories,Almaty,3,3500,1700
2026-08-13,Planner,Stationery,Almaty,10,2400,1000
2026-08-13,Pencil,Stationery,Almaty,3,150,50
2026-08-13,Lamp,Electronics,Almaty,10,7500,3900
2026-08-13,USB_drive,Electronics,Almaty,3,4200,1900
2026-08-14,Notebook,Stationery,Astana,13,650,250
2026-08-14,Pen,Stationery,Astana,6,200,70
2026-08-14,Backpack,Accessories,Astana,13,14000,7500
2026-08-14,Bottle,Accessories,Astana,6,3500,1700
2026-08-14,Planner,Stationery,Astana,13,2400,1000
2026-08-14,Pencil,Stationery,Astana,6,150,50
